,label,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1,0.08860799999999999,813.5440592271578,65.257674250632,0.3700148117789715,0.3144771439911152,0.531293227411971,1.170205194208883,182.0,182.0,182.0,113.44059227157818,113.44059227157818,113.44059227157818,45.0,45.0,45.0
1,2,0.069952,158.13746569075937,483.9739249771272,0.3123957405694187,0.28917827766842585,-0.3257092350413375,1.0002640687119286,160.0,160.0,160.0,103.00937785910338,103.00937785910338,103.00937785910338,40.0,40.0,40.0
2,3,0.17024,135.04144736842105,237.94642857142858,0.5210771172684533,0.4223515571452507,0.9909702310575026,1.604243866176395,195.0,195.0,195.0,111.93796992481202,111.93796992481202,111.93796992481202,37.0,37.0,37.0
3,4,0.075664,405.0718968069359,997.2167477267922,0.3480565327628708,0.2812552886572375,-0.4128936557406623,1.0560285706997457,147.0,147.0,147.0,97.25925142736308,97.25925142736308,97.25925142736308,30.0,30.0,30.0
4,5,0.14937599999999998,475.52002999143104,302.37585689802916,0.49558642612566844,0.38751554121941106,0.17929798745044306,1.5002438661763953,185.0,185.0,185.0,107.91988003427592,107.91988003427592,107.91988003427592,37.0,37.0,37.0
5,6,0.18192,737.9613896218118,1221.937642919965,0.5247946702507295,0.45286123679222967,-1.1090926731541675,1.6880285706997455,170.0,170.0,170.0,106.41011433597185,106.41011433597185,106.41011433597185,30.0,30.0,30.0
6,7,0.127184,788.4267203421814,1043.469744621965,0.520904191471142,0.3221859676360845,-1.1677402540769801,1.4526458864299485,162.0,162.0,162.0,100.60359793684741,100.60359793684741,100.60359793684741,25.0,25.0,25.0
7,8,0.169648,801.1442044704329,707.989719890597,0.5203464793313259,0.42342223839391835,-1.0429365820115848,1.610067242667258,195.0,195.0,195.0,111.17325285296614,111.17325285296614,111.17325285296614,30.0,30.0,30.0
8,9,0.03472,933.7493087557604,20.151612903225807,0.25000262660345657,0.18524601702799756,0.39110152192336,0.7339898987322333,160.0,160.0,160.0,98.70230414746544,98.70230414746544,98.70230414746544,37.0,37.0,37.0
9,10,0.166736,54.78658478073122,47.5149217925343,0.5169232616179184,0.42210679018441105,0.004714317795454228,1.5840285706997457,195.0,195.0,195.0,123.42683043853756,123.42683043853756,123.42683043853756,45.0,45.0,45.0
10,11,0.024064,126.5625,13.76063829787234,0.23243882813427652,0.15176161482764164,0.17018077738451956,0.6697544007200504,172.0,172.0,172.0,114.69747340425532,114.69747340425532,114.69747340425532,47.0,47.0,47.0
11,12,0.05704,842.9211781206171,14.902945301542777,0.5061461705013142,0.15308799179545016,0.04175151940407062,1.166156420973604,180.0,180.0,180.0,114.41122019635344,114.41122019635344,114.41122019635344,32.0,32.0,32.0
12,13,0.12070399999999999,317.90933191940616,1238.1171792152704,0.4378652974931018,0.3663172500574833,0.19757970025034086,1.360999133448223,172.0,172.0,172.0,107.02319724284199,107.02319724284199,107.02319724284199,47.0,47.0,47.0
13,14,0.13112,214.72837095790115,176.41610738255034,0.5036641258155995,0.34003184824145904,1.1734815849179203,1.468479364188578,185.0,185.0,185.0,114.12556436851739,114.12556436851739,114.12556436851739,50.0,50.0,50.0
14,15,0.23246399999999998,279.83584555027875,325.90302154312064,0.6174345634991774,0.49488282384305315,-0.14324141822258468,1.8960285706997457,190.0,190.0,190.0,114.33615527565559,114.33615527565559,114.33615527565559,45.0,45.0,45.0
